290;9.03;30.15;5.00
291;9.03;31.07;5.00
292;9.04;32.09;5.00
293;9.07;33.02;5.00
294;9.10;33.69;5.00
295;9.13;34.02;5.00
296;9.15;34.01;5.00
297;9.15;33.75;5.00
298;9.12;33.36;5.00
299;9.06;32.97;5.00
300;8.97;32.69;5.00
301;8.84;32.53;5.00
302;8.69;32.46;5.00
303;8.53;32.47;5.00
304;8.36;32.51;5.00
305;8.21;32.63;5.00
306;8.07;32.88;5.00
307;7.96;33.38;5.00
308;7.88;34.18;5.00
309;7.82;35.29;5.00
310;7.79;36.64;5.00
311;7.77;38.04;5.00
312;7.76;39.30;5.00
313;7.76;40.22;5.00
314;7.76;40.67;5.00
315;7.76;40.64;5.00
316;7.76;40.25;5.00
317;7.78;39.68;5.00
318;7.82;39.15;5.00
319;7.88;38.83;5.00
320;7.97;38.81;5.00
321;8.09;39.05;5.00
322;8.25;39.42;5.00
323;8.43;39.76;5.00
324;8.63;39.91;5.00
325;8.84;39.80;5.00
326;9.03;39.41;5.00
327;9.20;38.83;5.00
328;9.33;38.19;5.00
329;9.43;37.59;5.00
330;9.48;37.10;5.00
331;9.49;36.74;5.00
332;9.46;36.44;5.00
333;9.42;36.16;5.00
334;9.36;35.85;5.00
335;9.30;35.53;5.00
336;9.26;35.25;5.00
337;9.23;35.11;5.00
338;9.22;35.19;5.00
339;9.24;35.50;5.00
340;9.26;35.97;5.00
341;9.29;36.47;5.00
342;9.32;36.80;5.00
343;9.34;36.81;5.00
344;9.35;36.41;5.00
345;9.35;35.61;5.00
346;9.33;34.56;5.00
347;9.30;33.47;5.00
348;9.27;32.58;5.00
349;9.25;32.08;5.00
350;9.23;32.06;5.00
351;9.23;32.47;5.00
352;9.24;33.18;5.00
353;9.26;34.01;5.00
354;9.28;34.76;5.00
355;9.30;35.34;5.00
356;9.30;35.70;5.00
357;9.27;35.88;5.00
358;9.21;35.97;5.00
359;9.12;36.04;5.00
360;8.99;36.12;5.00
361;8.83;36.20;5.00
362;8.65;36.20;5.00
363;8.47;36.06;5.00
364;8.29;35.72;5.00
365;8.13;35.21;5.00
366;7.99;34.58;5.00
367;7.89;33.96;5.00
368;7.82;33.44;5.00
369;7.78;33.06;5.00
370;7.76;32.78;5.00
371;7.75;32.50;5.00
372;7.74;32.06;5.00
373;7.73;31.33;5.00
374;7.70;30.23;5.00
375;7.66;28.81;5.00
376;7.61;27.23;5.00
377;7.55;25.69;5.00
378;7.48;24.45;5.00
379;7.43;23.68;5.00
380;7.39;23.45;5.00
381;7.37;23.72;5.00
382;7.37;24.32;5.00
383;7.40;25.07;5.00
384;7.46;25.75;5.00
385;7.52;26.23;5.00
386;7.59;26.47;5.00
387;7.65;26.51;5.00
388;7.70;26.41;5.00
389;7.73;26.26;5.00
390;7.74;26.11;5.00
391;7.74;25.93;5.00
392;7.73;25.68;5.00
393;7.72;25.30;5.00
394;7.71;24.78;5.00
395;7.71;24.13;5.00
396;7.73;23.47;5.00
397;7.76;22.91;5.00
398;7.80;22.56;5.00
399;7.85;22.47;5.00
400;7.90;22.62;5.00
401;7.93;22.88;5.00
402;7.93;23.09;5.00
403;7.90;23.11;5.00
404;7.83;22.83;5.00
405;7.72;22.29;5.00
406;7.58;21.59;5.00
407;7.42;20.95;5.00
408;7.25;20.56;5.00
409;7.08;20.58;5.00
410;6.94;21.07;5.00
411;6.82;21.96;5.00
412;6.74;23.08;5.00
413;6.70;24.22;5.00
414;6.69;25.20;5.00
415;6.72;25.87;5.00
416;6.78;26.22;5.00
417;6.85;26.30;5.00
418;6.93;26.20;5.00
419;7.02;26.02;5.00
420;7.10;25.84;5.00
421;7.18;25.67;5.00
422;7.26;25.46;5.00
423;7.35;25.19;5.00
424;7.44;24.84;5.00
425;7.56;24.45;5.00
426;7.68;24.10;5.00
427;7.82;23.90;5.00
428;7.98;23.96;5.00
429;8.13;24.31;5.00
430;8.27;24.87;5.00
431;8.40;25.52;5.00
432;8.49;26.05;5.00
433;8.54;26.29;5.00
434;8.56;26.13;5.00
435;8.53;25.55;5.00
436;8.47;24.68;5.00
437;8.39;23.70;5.00
438;8.29;22.83;5.00
439;8.18;22.22;5.00
440;8.10;21.96;5.00
441;8.03;21.99;5.00
442;7.98;22.18;5.00
443;7.96;22.37;5.00
444;7.96;22.39;5.00
445;7.98;22.16;5.00
446;8.00;21.69;5.00
447;8.02;21.06;5.00
448;8.02;20.42;5.00
449;7.99;19.87;5.00
