Unix Time,Open,High,Low,Close,Volume,Formatted Date
1768335275,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:35
1768335276,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:36
1768335277,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:37
1768335278,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:38
1768335279,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:39
1768335280,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:40
1768335281,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:41
1768335282,77.33,77.33,77.33,77.33,0.65000000,13/01/2026 21:14:42
1768335283,77.33,77.33,77.33,77.33,0.25800000,13/01/2026 21:14:43
1768335284,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:44
1768335285,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:45
1768335286,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:46
1768335287,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:47
1768335288,77.33,77.33,77.33,77.33,0.20700000,13/01/2026 21:14:48
1768335289,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:49
1768335290,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:50
1768335291,77.33,77.33,77.33,77.33,20.96000000,13/01/2026 21:14:51
1768335292,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:52
1768335293,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:53
1768335294,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:54
1768335295,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:55
1768335296,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:56
1768335297,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:57
1768335298,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:14:58
1768335299,77.33,77.33,77.33,77.33,0.25900000,13/01/2026 21:14:59
1768335300,77.33,77.33,77.33,77.33,0.86800000,13/01/2026 21:15:00
1768335301,77.33,77.33,77.33,77.33,2.63100000,13/01/2026 21:15:01
1768335302,77.32,77.32,77.32,77.32,0.75600000,13/01/2026 21:15:02
1768335303,77.32,77.32,77.32,77.32,0.00000000,13/01/2026 21:15:03
1768335304,77.32,77.33,77.32,77.33,1.95900000,13/01/2026 21:15:04
1768335305,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:15:05
1768335306,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:15:06
1768335307,77.33,77.36,77.33,77.36,89.03000000,13/01/2026 21:15:07
1768335308,77.36,77.37,77.36,77.36,12.31300000,13/01/2026 21:15:08
1768335309,77.36,77.36,77.36,77.36,9.99000000,13/01/2026 21:15:09
1768335310,77.36,77.36,77.36,77.36,0.00000000,13/01/2026 21:15:10
1768335311,77.36,77.38,77.36,77.38,36.19300000,13/01/2026 21:15:11
1768335312,77.39,77.39,77.39,77.39,0.61400000,13/01/2026 21:15:12
1768335313,77.39,77.39,77.39,77.39,0.00000000,13/01/2026 21:15:13
1768335314,77.38,77.40,77.38,77.40,6.49600000,13/01/2026 21:15:14
1768335315,77.40,77.41,77.40,77.41,1.25100000,13/01/2026 21:15:15
1768335316,77.41,77.41,77.41,77.41,0.00000000,13/01/2026 21:15:16
1768335317,77.41,77.41,77.41,77.41,0.00000000,13/01/2026 21:15:17
1768335318,77.41,77.41,77.41,77.41,0.23600000,13/01/2026 21:15:18
1768335319,77.41,77.41,77.41,77.41,0.00000000,13/01/2026 21:15:19
1768335320,77.41,77.42,77.41,77.42,2.48200000,13/01/2026 21:15:20
1768335321,77.42,77.42,77.42,77.42,0.00000000,13/01/2026 21:15:21
1768335322,77.42,77.42,77.42,77.42,1.91700000,13/01/2026 21:15:22
1768335323,77.42,77.42,77.42,77.42,0.00000000,13/01/2026 21:15:23
1768335324,77.42,77.42,77.42,77.42,0.83100000,13/01/2026 21:15:24
1768335325,77.41,77.41,77.41,77.41,2.37900000,13/01/2026 21:15:25
1768335326,77.41,77.41,77.41,77.41,0.00000000,13/01/2026 21:15:26
1768335327,77.41,77.41,77.41,77.41,15.99800000,13/01/2026 21:15:27
1768335328,77.41,77.41,77.41,77.41,0.00000000,13/01/2026 21:15:28
1768335329,77.41,77.41,77.41,77.41,0.00000000,13/01/2026 21:15:29
1768335330,77.41,77.41,77.41,77.41,0.00000000,13/01/2026 21:15:30
1768335331,77.41,77.41,77.41,77.41,0.00000000,13/01/2026 21:15:31
1768335332,77.41,77.41,77.41,77.41,0.40800000,13/01/2026 21:15:32
1768335333,77.41,77.41,77.41,77.41,0.00000000,13/01/2026 21:15:33
1768335334,77.42,77.42,77.42,77.42,1.29100000,13/01/2026 21:15:34
1768335335,77.41,77.41,77.40,77.41,98.63500000,13/01/2026 21:15:35
1768335336,77.41,77.41,77.41,77.41,0.00000000,13/01/2026 21:15:36
1768335337,77.41,77.41,77.41,77.41,0.34000000,13/01/2026 21:15:37
1768335338,77.41,77.41,77.41,77.41,0.00000000,13/01/2026 21:15:38
1768335339,77.42,77.42,77.42,77.42,0.28400000,13/01/2026 21:15:39
1768335340,77.42,77.42,77.42,77.42,0.00000000,13/01/2026 21:15:40
1768335341,77.42,77.42,77.42,77.42,0.00000000,13/01/2026 21:15:41
1768335342,77.41,77.41,77.41,77.41,1.91000000,13/01/2026 21:15:42
1768335343,77.41,77.41,77.41,77.41,0.00000000,13/01/2026 21:15:43
1768335344,77.41,77.41,77.41,77.41,0.00000000,13/01/2026 21:15:44
1768335345,77.41,77.41,77.41,77.41,0.67100000,13/01/2026 21:15:45
1768335346,77.41,77.41,77.40,77.40,3.95700000,13/01/2026 21:15:46
1768335347,77.41,77.41,77.41,77.41,31.18300000,13/01/2026 21:15:47
1768335348,77.41,77.41,77.41,77.41,0.00000000,13/01/2026 21:15:48
1768335349,77.42,77.42,77.42,77.42,1.13000000,13/01/2026 21:15:49
1768335350,77.42,77.42,77.39,77.39,100.56800000,13/01/2026 21:15:50
1768335351,77.39,77.39,77.38,77.38,1.52800000,13/01/2026 21:15:51
1768335352,77.37,77.37,77.37,77.37,0.71000000,13/01/2026 21:15:52
1768335353,77.36,77.36,77.35,77.35,23.91300000,13/01/2026 21:15:53
1768335354,77.34,77.34,77.33,77.33,2.03500000,13/01/2026 21:15:54
1768335355,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:15:55
1768335356,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:15:56
1768335357,77.33,77.33,77.31,77.32,64.44600000,13/01/2026 21:15:57
1768335358,77.32,77.32,77.32,77.32,0.00000000,13/01/2026 21:15:58
1768335359,77.32,77.32,77.32,77.32,0.00000000,13/01/2026 21:15:59
1768335360,77.33,77.36,77.33,77.36,24.09700000,13/01/2026 21:16:00
1768335361,77.36,77.37,77.36,77.37,1.23600000,13/01/2026 21:16:01
1768335362,77.37,77.37,77.37,77.37,0.00000000,13/01/2026 21:16:02
1768335363,77.36,77.36,77.33,77.33,2.77300000,13/01/2026 21:16:03
1768335364,77.32,77.33,77.32,77.33,5.89800000,13/01/2026 21:16:04
1768335365,77.33,77.34,77.33,77.34,6.18000000,13/01/2026 21:16:05
1768335366,77.33,77.33,77.33,77.33,1.48800000,13/01/2026 21:16:06
1768335367,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:16:07
1768335368,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:16:08
1768335369,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:16:09
1768335370,77.33,77.33,77.33,77.33,0.24600000,13/01/2026 21:16:10
1768335371,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:16:11
1768335372,77.33,77.33,77.33,77.33,0.00000000,13/01/2026 21:16:12
1768335373,77.32,77.32,77.31,77.31,5.71800000,13/01/2026 21:16:13
1768335374,77.31,77.31,77.31,77.31,0.00000000,13/01/2026 21:16:14
1768335375,77.31,77.31,77.31,77.31,0.00000000,13/01/2026 21:16:15
1768335376,77.31,77.31,77.31,77.31,19.48200000,13/01/2026 21:16:16
1768335377,77.31,77.31,77.31,77.31,0.00000000,13/01/2026 21:16:17
1768335378,77.31,77.31,77.31,77.31,0.00000000,13/01/2026 21:16:18
1768335379,77.30,77.30,77.29,77.29,2.28700000,13/01/2026 21:16:19
1768335380,77.29,77.29,77.29,77.29,0.00000000,13/01/2026 21:16:20
1768335381,77.29,77.29,77.29,77.29,0.44400000,13/01/2026 21:16:21
1768335382,77.29,77.29,77.29,77.29,0.13000000,13/01/2026 21:16:22
1768335383,77.29,77.29,77.29,77.29,0.00000000,13/01/2026 21:16:23
1768335384,77.29,77.29,77.29,77.29,0.00000000,13/01/2026 21:16:24
1768335385,77.29,77.29,77.29,77.29,3.91900000,13/01/2026 21:16:25
